Filename,HiFspp,LoFspp,Consensus,ByVote,#Maj,#Accpt,MeanClssn,DiscrProb,Clssn if<Thr,DP if<Thr,Fc mean,Fc StdDev,Dur mean,Dur StdDev,calls/sec,1st,2nd,3rd,4th,<--All spp in sqnc classified with a DP>0.75 in order of prevalence,ParentDir,NextDirUp,FileLngth,Version,Filter,Preemphasis,MaxSegLngth,DP Thr,AccpQuality,AccpQualForTally,Max#CallsConsidered
REF-Summer_Tree-20130519_220728-Tabr.wav,,1,Tabr,Tabr,1,1,Tabr,0.9984,,,28.06,,11.06,,3.72,Tabr,,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130519_220813.wav,,1,,Lano,1,1,Lano,0.9914,,,26.67,,12.08,,4.08,Lano,,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130519_220824-Lano.wav,,1,Lano,Lano,6,6,Lano,0.9783,,,26.6,0.35,12.86,1.38,2.85,Lano,,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130519_221207.wav,,1,,,,,,,,,,,,,0.98,Lano,,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130519_222627-Lano.wav,,1,Lano,Lano,7,7,Lano,0.9943,,,26.77,0.45,12.7,0.41,1.93,Lano,,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130519_223035-Lano.wav,,1,Lano,Lano,3,4,Lano,0.9987,,,26.69,0.09,17.42,2.27,2.02,Lano,Tabr,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130519_223045-Lano.wav,,1,Lano,Lano,5,5,Lano,0.9928,,,25.55,0.33,19.77,2.15,2.75,Lano,Tabr,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130519_225410-Lano.wav,,1,Lano,Lano,2,3,Lano,0.9987,,,26.55,0.01,20.55,7.39,1.56,Lano,Tabr,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130519_231359.wav,,1,,,,,Tabr,0.9397,,,,,,,1.18,Tabr,,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130520_000332.wav,,1,,,,,,,,,,,,,2.93,,,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,30 kHz anti-katydid,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130520_001036.wav,,1,,Lano,7,7,,,Lano/Tabr,0.890/0.080,26.41,0.66,13.25,4.91,3.4,Lano,,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130520_005950-Lano.wav,,1,Lano,Lano,2,2,Lano,0.9789,,,25.77,0.32,15.09,0.03,2.13,Lano,Tabr,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130520_210700-Laci.wav,,1,Laci,Laci,1,1,Laci,0.9994,,,26.17,,11.43,,3.08,Lano,Tabr,Laci,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130520_220704-Lano.wav,,1,Lano,Lano,4,4,Lano,0.9889,,,25.25,0.25,15.65,1.75,1.98,Lano,,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130520_224535-Laci.wav,,1,Laci,Laci,1,1,Laci,0.9991,,,25.48,,6.08,,1.56,Tabr,Laci,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130522_212019-Tabr.wav,,1,Tabr,Tabr,1,1,Tabr,0.9999,,,21.88,,11.27,,4.83,Tabr,,,,,REF-Summer_Tree-053013,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130523_214822.wav,,,,,,,,,,,,,,,2.36,,,,,,REF-Summer_Tree-053013,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130524_052958.wav,,1,,,,,,,,,,,,,3.07,Laci,,,,,REF-Summer_Tree-053013,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130524_062514.wav,,,,,,,,,,,,,,,,,,,,,REF-Summer_Tree-053013,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130524_203309-Tabr.wav,,1,Tabr,Tabr,2,3,Tabr,0.9937,,,26.35,0.22,13.4,0.34,3.33,Tabr,Epfu,Lano,,,REF-Summer_Tree-053013,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130525_205605.wav,1,,,Mylu,2,2,,,,,41.16,1.56,5.62,1.07,6.31,Mylu,,,,,REF-Summer_Tree-053013,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130525_205902-Lano.wav,,1,Lano,Lano,6,6,Lano,0.9968,,,25.6,0.21,19.62,1.82,3.6,Lano,,,,,REF-Summer_Tree-053013,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130525_211753-Tabr.wav,,1,Tabr,Tabr,3,3,Tabr,0.9925,,,24.01,0.48,12.16,1.35,2.19,Tabr,Lano,,,,REF-Summer_Tree-053013,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
